Author Handle,ID,Age,Like Count,Fetched On,Action,Text
5xcapone,CIAF9pmnEZk,141w,0,"""2024-05-15 18:59:18""",Post,OUT NOW🔥⚡️ #YouTube 🖤🚀 #5
5xcapone,CIAF9pmnEZk-comment-1,141w,0,"""2024-05-15 18:59:18""",comment,@moneybaggyo
5xcapone,CIAF9pmnEZk-comment-2,141w,0,"""2024-05-15 18:59:18""",comment,@moneybaggyo
5xcapone,CIAF9pmnEZk-comment-3,141w,0,"""2024-05-15 18:59:18""",comment,@moneybaggyo
5xcapone,CIAF9pmnEZk-comment-4,141w,0,"""2024-05-15 18:59:18""",comment,@moneybaggyo
5xcapone,CIAF9pmnEZk-comment-5,141w,0,"""2024-05-15 18:59:18""",comment,@moneybaggyo
5xcapone,CIceRrCH_ue,177w,0,"""2024-05-15 18:59:18""",Post,We don’t shoot Up Out No Windows 😈 When Y’all want it🚀5️⃣🔥 @darklightbulbentertainment @funnymike_ent #5GANG #DLE #CGRNG #explore #viral SHOT BY @staxx.tv ⚡️🎥
5xcapone,CImrmNZnRRY,176w,0,"""2024-05-15 18:59:18""",Post,SCARED SHOOTERS OUT NOW 🤯🚀 #viralvideos #explorepage #music #rapper @saycheesetv @saycheesetv @saycheesetv @saycheesetv @saycheesetv
5xcapone,CKRlHZysx7d,170w,0,"""2024-05-15 18:59:18""",Post,so many packs i done ran thru I think my scale Broke 💰😁 #DLE #5GANG
5xcapone,CLm57UDM7SR,166w,0,"""2024-05-15 18:59:18""",Post,You rap what you hear and I rap what I live 🖤❗️
5xcapone,C6UnzBwscRH,1d,0,"""2024-05-15 18:59:18""",Reel,“ DRAG EM 2 HELL “ OUT NOW 💎⬇️ LINK in my Bio #3K
5xcapone,C6Ut98gsvBu,1d,0,"""2024-05-15 18:59:18""",Reel,👹👹👹 big drac blow out the pick up truck 🛻 #3K
5xcapone,CDy_1mYjJCe,193w,0,"""2024-05-15 18:59:18""",Reel,📈🎭⚰️
5xcapone,CHHJCTDnz16,182w,0,"""2024-05-15 18:59:18""",Reel,Bitch We Strappedddd Up and want get In some SHIT 5️⃣✅⚡️ #outnow #CGRNG #5
5xcapone,CIAF9pmnEZk,141w,0,"""2024-05-15 18:59:18""",Reel,OUT NOW🔥⚡️ #YouTube 🖤🚀 #5
5xcapone,CIAF9pmnEZk-comment-1,141w,0,"""2024-05-15 18:59:18""",comment,@moneybaggyo
5xcapone,CIAF9pmnEZk-comment-2,141w,0,"""2024-05-15 18:59:18""",comment,@moneybaggyo
5xcapone,CIAF9pmnEZk-comment-3,141w,0,"""2024-05-15 18:59:18""",comment,@moneybaggyo
5xcapone,CIAF9pmnEZk-comment-4,141w,0,"""2024-05-15 18:59:18""",comment,@moneybaggyo
5xcapone,CIAF9pmnEZk-comment-5,141w,0,"""2024-05-15 18:59:18""",comment,@moneybaggyo
5xcapone,CIceRrCH_ue,177w,0,"""2024-05-15 18:59:18""",Reel,We don’t shoot Up Out No Windows 😈 When Y’all want it🚀5️⃣🔥 @darklightbulbentertainment @funnymike_ent #5GANG #DLE #CGRNG #explore #viral SHOT BY @staxx.tv ⚡️🎥
5xcapone,CImrmNZnRRY,176w,0,"""2024-05-15 18:59:18""",Reel,SCARED SHOOTERS OUT NOW 🤯🚀 #viralvideos #explorepage #music #rapper @saycheesetv @saycheesetv @saycheesetv @saycheesetv @saycheesetv
darksideyoungannn,Ce9BdaCLkTF,97w,0,"""2024-05-15 18:59:18""",Post,THEY ON THEY BLOCK SHID JUST LET ME OUT ND PULL AROUND THE BACK #DEDEBLANCO💙
foreverbleeda,C2lK283xLNk,13w,0,"""2024-05-15 18:59:18""",Post,Old Freestyle Off The Top 🩸
foreverbleeda,C3CMd3QMDej,11w,0,"""2024-05-15 18:59:18""",Post,Rare Studio Session 🩸 Make Sure They All Bleed in The Name Of 🤫 Just Watch It 💔
foreverbleeda,C3UACzXsQcW,10w,0,"""2024-05-15 18:59:18""",Post,Play For Keeps 🩸
foreverbleeda,C57cqD3Mt9s,1w,0,"""2024-05-15 18:59:18""",Post,True Bleeda 🩸
foreverbleeda,C5TxF5_xj5U,3w,0,"""2024-05-15 18:59:18""",Post,Blood Strain Bout Li Bleeda🩸#TMU
foreverbleeda,Ca-Ls7YrKV1,111w,0,"""2024-05-15 18:59:18""",Post,@truebleeda The Vocals Was There 100% 🩸
foreverbleeda,CalOw9ysf4Z,112w,0,"""2024-05-15 18:59:18""",Post,@truebleeda 🩸💔
foreverbleeda,Cang_byNiZN,112w,0,"""2024-05-15 18:59:18""",Post,@truebleeda 🩸 I heard ah Opp Died On Arrival Yeaa!
foreverbleeda,CavznVMOIN1,112w,0,"""2024-05-15 18:59:18""",Post,Rest Up @truebleeda I love Yo Music Brudda The Engery You Gave out You Was Really Next To Be Major Crazy wish You Had Your Third Eye Open That Day But #ForeverBleeda 🩸 Yo Music Won’t Never Play Out Because Pain Last Forever it’s Always Gone Be Somebody That Feel How You Felt Each Song Damn Shit Sad You Left at 18 🤦🏾 #LoveDontLiveHere #TrenchBusiness #TrueBleeda #Bleeda
foreverbleeda,CaxO9vBAbHF,111w,0,"""2024-05-15 18:59:18""",Post,True Bleeda 🩸
foreverbleeda,CcJIOoGssXK,107w,0,"""2024-05-15 18:59:18""",Post,@truebleeda 🩸
foreverbleeda,Cj5eTeZpgEN,79w,0,"""2024-05-15 18:59:18""",Post,@truebleeda | Freestyle 2022 🩸
foreverbleeda,CmxwhtztuLj,69w,0,"""2024-05-15 18:59:18""",Post,Message From @truebleeda Himself 🩸👼🏼 #1819
foreverbleeda,CmxyuabJv_Q,69w,0,"""2024-05-15 18:59:18""",Post,LLBleeda LLCliff 🩸
foreverbleeda,Cm_LHQZp2I7,68w,0,"""2024-05-15 18:59:18""",Post,Long Live @truebleeda 👼🏼🩸
foreverbleeda,CnwduEhLzzl,65w,0,"""2024-05-15 18:59:18""",Post,Your Birthday Tomorrow BIG 19 Wish Life Had a Reset Button So You Was Here To Live it @truebleeda 💔🩸 Rest Yo Soul But You Still Living Through Your Music Real Pain Never Die You The Realist
foreverbleeda,CnzqRo0JyRI,65w,0,"""2024-05-15 18:59:18""",Post,A True Bleeda Story 🩸 #BIG19 💔
foreverbleeda,CoEbR44stJ_,64w,0,"""2024-05-15 18:59:18""",Post,Check My Jacket 🩸
foreverbleeda,CogQq6krrNt,63w,0,"""2024-05-15 18:59:18""",Post,Murda 1 🩸🫶🏾
foreverbleeda,CoLhhm0rVe4,64w,0,"""2024-05-15 18:59:18""",Post,Da Biggest Bleeda 🩸
foreverbleeda,Cp-zmiuJ5Sj,57w,0,"""2024-05-15 18:59:18""",Post,🫶🏾
foreverbleeda,CpGXpXFJ5u4,61w,0,"""2024-05-15 18:59:18""",Post,Happy Bleeda Day 🩸 @truebleeda ♾️
foreverbleeda,CrEbQNLph-M,54w,0,"""2024-05-15 18:59:18""",Post,Don’t Rat On Me 🐀 🩸
foreverbleeda,Crn65h-PKT4,52w,0,"""2024-05-15 18:59:18""",Post,WEB THE BLOCK 💜👼🏽
foreverbleeda,CsdB6VipP7s,40w,0,"""2024-05-15 18:59:18""",Post,True Bleeda Raw Vocal Motivation For Depression 🩸🫶🏾
foreverbleeda,Ct-hl1AurTQ,43w,0,"""2024-05-15 18:59:18""",Post,Soul Survivor #Props 🩸
foreverbleeda,Ctfj8XEORA4,45w,0,"""2024-05-15 18:59:18""",Post,🩸 My Name 🩸 #TheBiggestBleeda
foreverbleeda,CtxyKyUsk_7,44w,0,"""2024-05-15 18:59:18""",Post,It Hurt My Heart To See My Niggas In The Grave 🩸💔
foreverbleeda,Cu0oLPxOhew,40w,0,"""2024-05-15 18:59:18""",Post,Murda 🩸 #props
foreverbleeda,CunKQ5lJDLF,41w,0,"""2024-05-15 18:59:18""",Post,The Biggest Bleeda 🩸🤫
foreverbleeda,Cv2tr6BM8XN,37w,0,"""2024-05-15 18:59:18""",Post,Stand On Business 🫵🏾🩸
foreverbleeda,CwA5fqluhiD,36w,0,"""2024-05-15 18:59:18""",Post,Black Live Matter 🖕🏾 BRPD #Freestyle 🩸
foreverbleeda,CweSNWes4A2,34w,0,"""2024-05-15 18:59:18""",Post,Nowhere To Be Found 🫵🏾💔🩸
foreverbleeda,Cwrtgo4ueX_,34w,0,"""2024-05-15 18:59:18""",Post,"How TF You Judge a Nigga
& You Don’t Even Know Me"
foreverbleeda,CzKJW6exgcK,25w,0,"""2024-05-15 18:59:18""",Post,Biggest Bleeda 🩸
foreverbleeda,C2lK283xLNk,13w,0,"""2024-05-15 18:59:18""",Reel,Old Freestyle Off The Top 🩸
foreverbleeda,C3CMd3QMDej,11w,0,"""2024-05-15 18:59:18""",Reel,Rare Studio Session 🩸 Make Sure They All Bleed in The Name Of 🤫 Just Watch It 💔
foreverbleeda,C3UACzXsQcW,10w,0,"""2024-05-15 18:59:18""",Reel,Play For Keeps 🩸
foreverbleeda,C57cqD3Mt9s,1w,0,"""2024-05-15 18:59:18""",Reel,True Bleeda 🩸
foreverbleeda,C5TxF5_xj5U,3w,0,"""2024-05-15 18:59:18""",Reel,Blood Strain Bout Li Bleeda🩸#TMU
foreverbleeda,Ca-Ls7YrKV1,111w,0,"""2024-05-15 18:59:18""",Reel,@truebleeda The Vocals Was There 100% 🩸
foreverbleeda,Cang_byNiZN,112w,0,"""2024-05-15 18:59:18""",Reel,@truebleeda 🩸 I heard ah Opp Died On Arrival Yeaa!
foreverbleeda,CavznVMOIN1,112w,0,"""2024-05-15 18:59:18""",Reel,Rest Up @truebleeda I love Yo Music Brudda The Engery You Gave out You Was Really Next To Be Major Crazy wish You Had Your Third Eye Open That Day But #ForeverBleeda 🩸 Yo Music Won’t Never Play Out Because Pain Last Forever it’s Always Gone Be Somebody That Feel How You Felt Each Song Damn Shit Sad You Left at 18 🤦🏾 #LoveDontLiveHere #TrenchBusiness #TrueBleeda #Bleeda
foreverbleeda,CaxO9vBAbHF,111w,0,"""2024-05-15 18:59:18""",Reel,True Bleeda 🩸
foreverbleeda,CcJIOoGssXK,107w,0,"""2024-05-15 18:59:18""",Reel,@truebleeda 🩸
foreverbleeda,Cj5eTeZpgEN,79w,0,"""2024-05-15 18:59:18""",Reel,@truebleeda | Freestyle 2022 🩸
foreverbleeda,CmxwhtztuLj,69w,0,"""2024-05-15 18:59:18""",Reel,Message From @truebleeda Himself 🩸👼🏼 #1819
foreverbleeda,CmxyuabJv_Q,69w,0,"""2024-05-15 18:59:18""",Reel,LLBleeda LLCliff 🩸
foreverbleeda,Cm_LHQZp2I7,68w,0,"""2024-05-15 18:59:18""",Reel,Long Live @truebleeda 👼🏼🩸
foreverbleeda,CnwduEhLzzl,65w,0,"""2024-05-15 18:59:18""",Reel,Your Birthday Tomorrow BIG 19 Wish Life Had a Reset Button So You Was Here To Live it @truebleeda 💔🩸 Rest Yo Soul But You Still Living Through Your Music Real Pain Never Die You The Realist
foreverbleeda,CnzqRo0JyRI,65w,0,"""2024-05-15 18:59:18""",Reel,A True Bleeda Story 🩸 #BIG19 💔
foreverbleeda,CoEbR44stJ_,64w,0,"""2024-05-15 18:59:18""",Reel,Check My Jacket 🩸
foreverbleeda,CogQq6krrNt,63w,0,"""2024-05-15 18:59:18""",Reel,Murda 1 🩸🫶🏾
foreverbleeda,CoLhhm0rVe4,64w,0,"""2024-05-15 18:59:18""",Reel,Da Biggest Bleeda 🩸
foreverbleeda,CpGXpXFJ5u4,61w,0,"""2024-05-15 18:59:18""",Reel,Happy Bleeda Day 🩸 @truebleeda ♾️
foreverbleeda,CrEbQNLph-M,54w,0,"""2024-05-15 18:59:18""",Reel,Don’t Rat On Me 🐀 🩸
foreverbleeda,Crn65h-PKT4,52w,0,"""2024-05-15 18:59:18""",Reel,WEB THE BLOCK 💜👼🏽
foreverbleeda,CsdB6VipP7s,40w,0,"""2024-05-15 18:59:18""",Reel,True Bleeda Raw Vocal Motivation For Depression 🩸🫶🏾
foreverbleeda,Ct-hl1AurTQ,43w,0,"""2024-05-15 18:59:18""",Reel,Soul Survivor #Props 🩸
foreverbleeda,Ctfj8XEORA4,45w,0,"""2024-05-15 18:59:18""",Reel,🩸 My Name 🩸 #TheBiggestBleeda
foreverbleeda,CtxyKyUsk_7,44w,0,"""2024-05-15 18:59:18""",Reel,It Hurt My Heart To See My Niggas In The Grave 🩸💔
foreverbleeda,Cu0oLPxOhew,40w,0,"""2024-05-15 18:59:18""",Reel,Murda 🩸 #props
foreverbleeda,CunKQ5lJDLF,41w,0,"""2024-05-15 18:59:18""",Reel,The Biggest Bleeda 🩸🤫
foreverbleeda,Cv2tr6BM8XN,37w,0,"""2024-05-15 18:59:18""",Reel,Stand On Business 🫵🏾🩸
foreverbleeda,CwA5fqluhiD,36w,0,"""2024-05-15 18:59:18""",Reel,Black Live Matter 🖕🏾 BRPD #Freestyle 🩸
foreverbleeda,CweSNWes4A2,34w,0,"""2024-05-15 18:59:18""",Reel,Nowhere To Be Found 🫵🏾💔🩸
foreverbleeda,Cwrtgo4ueX_,34w,0,"""2024-05-15 18:59:18""",Reel,"How TF You Judge a Nigga
& You Don’t Even Know Me"
iam40glockcyou,C21Uak7Mz0k,12w,0,"""2024-05-15 18:59:18""",Post,Back & Better Mixtape Out Now Everywhere Link In My Bio Tmu🔥 #explore #repost
rugerrudy,C21Uak7Mz0k-comment-3,12w,0,"""2024-05-15 18:59:18""",comment,🔥🔥🔥🩸🚀📈
iam40glockcyou,C2671wgO9Lo,11w,0,"""2024-05-15 18:59:18""",Post,trippin at 4am #explore
iam40glockcyou,C2Ai0Corvt0,15w,0,"""2024-05-15 18:59:18""",Post,They Tryna Stop My Shine But This Shi 🆙 4L(Link in Bio) #explore
iam40glockcyou,C2GhdNTrf-4,14w,0,"""2024-05-15 18:59:18""",Post,Aint Been Home 💯 Days But I Seen 100k💙 #explore #litterthanyobf🤷🏾‍♂️
realbleeda_,C2GhdNTrf-4-comment-3,14w,3,"""2024-05-15 18:59:18""",comment,🩸🖤
rugerrudy,C2GhdNTrf-4-comment-6,14w,2,"""2024-05-15 18:59:18""",comment,I🩸You
